decil_bur_score_02,volume,fpd_rate,score_min,score_max
"(0.999, 508.0]",132733,0.4882583833711285,1,508
"(508.0, 543.0]",130294,0.37882020660966736,509,543
"(543.0, 571.0]",133743,0.32228228767113043,544,571
"(571.0, 596.0]",128128,0.27506868131868134,572,596
"(596.0, 622.0]",131096,0.24010648684933178,597,622
"(622.0, 649.0]",129005,0.20328669431417387,623,649
"(649.0, 680.0]",133349,0.16704287246248567,650,680
"(680.0, 715.0]",130376,0.1334601460391483,681,715
"(715.0, 760.0]",130922,0.09750844013993065,716,760
"(760.0, 917.0]",128683,0.05811956513292354,761,917
