decil,n,n_bad,prob_min,prob_max,prob_mean,n_good,bad_rate,pct_total,pct_bad,pct_good,cum_n,cum_bad,cum_good,cum_pct_total,cum_pct_bad,cum_pct_good,cum_bad_rate,lift,conjunto
1,43603,2802,0.031327692314665145,0.062010837945960545,0.05227813128261734,40801,0.06426163337385042,0.10000779823668107,0.029930141639428316,0.11916945598140068,435996,93618,342378,1.0,1.0,1.0,0.2147221534142515,1.0,OOT
2,44316,3817,0.06201273002991978,0.08345172139085154,0.07297324945350984,40499,0.08613141980323134,0.10164313434068202,0.04077207374650174,0.11828738996080355,392393,90816,301577,0.899992201763319,0.9700698583605717,0.8808305440185993,0.23144143753838625,1.077864737561006,OOT
3,43516,4646,0.08345245724326061,0.10788271619483572,0.09576041803415782,38870,0.10676532769556026,0.09980825512160663,0.04962720844282083,0.11352949079672175,348077,86999,261078,0.7983490674226369,0.92929778461407,0.7625431540577958,0.24994182321727665,1.1640243879963228,OOT
4,42972,5521,0.10788339205879206,0.13826446196957934,0.12278977636957726,37451,0.12847900958763847,0.09856053725263535,0.05897370163857378,0.10938494879928033,304561,82353,222208,0.6985408123010303,0.8796705761712491,0.649013663261074,0.2703990333627746,1.2592973247669923,OOT
5,43591,6927,0.1382645068478347,0.17416497142798723,0.15570273213723834,36664,0.15890894909499667,0.09998027504839493,0.0739921809908351,0.10708631979858518,261589,76832,184757,0.5999802750483949,0.8206968745326754,0.5396287144617937,0.2937126561132158,1.3678730929387257,OOT
6,44480,8718,0.174165626277422,0.21789158733318742,0.19552853444131252,35762,0.1959982014388489,0.10201928458059248,0.09312311734922771,0.10445180473044413,217998,69905,148093,0.5,0.7467046935418402,0.4325423946632085,0.32066807952366533,1.4934093870836804,OOT
7,42719,10361,0.21789246174479665,0.2672152884220733,0.24151533121245988,32358,0.24253844893372972,0.09798025669960275,0.1106731611442244,0.09450957713404483,173518,61187,112331,0.3979807154194075,0.6535815761926125,0.32809058993276435,0.35262624050530783,1.6422443371504645,OOT
8,43603,13092,0.26721804117191617,0.32620746567434084,0.29536375192866343,30511,0.3002545696397037,0.10000779823668107,0.13984490162148305,0.08911495481602205,130799,50826,79973,0.30000045871980474,0.5429084150483882,0.23358101279871954,0.38858095245376495,1.8096919496895012,OOT
9,43613,16013,0.32620828122021256,0.4153058160625396,0.3655941077415724,27600,0.367161167541788,0.10003073422691951,0.17104616633553377,0.08061265618702136,87196,37734,49462,0.1999926604831237,0.4030635134269051,0.1444660579826975,0.4327492086792972,2.0153915271351543,OOT
10,43583,21721,0.4153145928526562,0.6901918813315581,0.4836960583358037,21862,0.49838239680609414,0.09996192625620419,0.2320173470913713,0.06385340179567613,43583,21721,21862,0.09996192625620419,0.2320173470913713,0.06385340179567613,0.49838239680609414,2.32105718427941,OOT
