decil,n,n_bad,prob_min,prob_max,prob_mean,n_good,bad_rate,pct_total,pct_bad,pct_good,cum_n,cum_bad,cum_good,cum_pct_total,cum_pct_bad,cum_pct_good,cum_bad_rate,lift,conjunto
1,177852,10212,0.030577858241687367,0.06185705327803801,0.05214581842597922,167640,0.05741852776465826,0.10000387978077552,0.027056672760511883,0.11965559402749852,1778451,377430,1401021,1.0,1.0,1.0,0.21222400842081116,1.0,Train
2,180050,13924,0.061857153720637444,0.08345172139085154,0.0729747580447644,166126,0.07733407386836989,0.10123978675825199,0.036891609040086905,0.1185749535517312,1600599,367218,1233381,0.8999961202192245,0.9729433272394881,0.8803444059725015,0.22942535888126883,1.081052801652628,Train
3,175635,17267,0.08345196541075044,0.10831436123225475,0.09588009777927804,158368,0.09831183989523729,0.09875728934898965,0.04574888058712874,0.11303756331989313,1420549,353294,1067255,0.7987563334609725,0.9360517181994013,0.7617694524207703,0.24870243828266395,1.1718864426946507,Train
4,177857,22040,0.10831459743600699,0.13971395770576012,0.12395424338686184,155817,0.12391977824881788,0.10000669121612009,0.05839493415997669,0.11121674835709101,1244914,336027,908887,0.6999990441119829,0.8903028376122725,0.6487318891008772,0.26991984988521295,1.2718629333868714,Train
5,177832,27273,0.13971474075694856,0.1782925118769824,0.15862904347434167,150559,0.15336384902604705,0.0999926340393972,0.07225975677609094,0.10746377106410254,1067057,313987,753070,0.5999923528958627,0.8319079034522958,0.5375151407437861,0.29425513351208044,1.386530843996749,Train
6,177845,34456,0.17829348493092137,0.22225825138654098,0.1999231333277067,143389,0.1937417414040316,0.0999999437712931,0.09129110033648624,0.1023460747554819,889225,286714,602511,0.49999971885646555,0.7596481466762048,0.4300513696796836,0.3224313306530968,1.5192971476335497,Train
7,177845,42435,0.22226046559154386,0.273321164096781,0.24801563823533457,135410,0.23860665185976554,0.0999999437712931,0.11243144424131626,0.09665094241984952,711380,252258,459122,0.3999997750851724,0.6683570463397186,0.3277052949242017,0.3546037279653631,1.6708935553711362,Train
8,177848,53201,0.27332307959048213,0.337750429787333,0.3039737099906654,124647,0.2991374657010481,0.10000163063249985,0.14095593884958801,0.08896868783551425,533535,209823,323712,0.2999998313138793,0.5559256020984024,0.2310543525043522,0.3932694200005623,1.8530863822945183,Train
9,177842,66489,0.33775177234465575,0.4289576534980319,0.376906645607007,111353,0.3738655660642593,0.09999825691008636,0.17616246721246323,0.07947989359188763,355687,156622,199065,0.19999820068137947,0.41496966324881435,0.14208566466883793,0.44033658806759873,2.07486698297806,Train
10,177845,90133,0.4289576553563581,0.7078559770218485,0.49085561266829464,87712,0.5068064887964239,0.0999999437712931,0.23880719603635112,0.06260577107695031,177845,90133,87712,0.0999999437712931,0.23880719603635112,0.06260577107695031,0.5068064887964239,2.3880733031462493,Train
