feature,auc,gini,ks,iv,corr,n,pct_missing,iv_interpretation,domain
bur_score_02,0.7153597568974168,43.071951379483366,32.115562788441906,0.6048401896284045,-0.30519254550608316,2632024,0.0007122517939177619,Muito Forte*,bur_
bur_score_01,0.6801241693255647,36.024833865112946,27.394262557253583,0.4161172279242482,-0.22462089296622473,2616228,0.006709442271916166,Forte,bur_
pag_vlr_total_geral,0.610168379688423,22.033675937684592,17.260194923764782,0.17600496569018467,-0.012506393957824262,785934,0.7016082615133452,Medio,pag_
tel_var_31,0.5845150521786397,16.90301043572795,14.431102376190669,0.09923039731560022,0.08744898196709441,1307794,0.5034762139792703,Fraco,tel_
cad_var_05,0.5753971420534558,15.079428410691165,11.351728974379238,0.07211108610543326,-0.10367597342832342,2540164,0.035588291127225835,Fraco,cad_
atr_vlr_acumulado_geral,0.5749334884391516,14.986697687830318,13.452398395391029,0.10787264224626976,-0.0014103806782216136,838890,0.6815027146057178,Medio,atr_
tel_var_28,0.566871821309751,13.3743642619502,11.92853810848749,0.06104892455903691,0.09929715897915833,1307794,0.5034762139792703,Fraco,tel_
pag_dias_desde_ultimo_pagamento,0.5653644948841069,13.072898976821378,13.329101022101986,0.09875855113801617,0.09928278621100049,785934,0.7016082615133452,Fraco,pag_
cad_var_02,0.5642529723270089,12.850594465401777,12.195576659476949,0.08832772648485006,0.08596155135923149,152260,0.9421921864915145,Fraco,cad_
tel_var_50,0.5567872187420048,11.357443748400954,10.66227727421849,0.04687398328763176,0.07448120643548282,1307794,0.5034762139792703,Fraco,tel_
pag_qtd_faturas_l90d,0.553777035795471,10.755407159094199,11.030586010777888,0.011185518336629821,-0.0934843656330828,2633900,0.0,Nao Preditivo,pag_
pag_qtd_faturas_l60d,0.5536940963132084,10.738819262641686,10.350233697117828,0.010754882372122203,-0.08823412665471524,2633900,0.0,Nao Preditivo,pag_
pag_qtd_faturas_geral,0.5536243105238949,10.724862104778987,11.15406192647389,0.06706455464296038,-0.10418061806925187,2633900,0.0,Fraco,pag_
pag_flag_sem_pagamento_l60d,0.551689036725832,10.337807345166405,10.337807345166416,0.0,0.09570879783391752,2633900,0.0,Nao Preditivo,pag_
rec_dias_desde_primeira,0.5507117952886719,10.142359057734375,9.164363311263363,0.037804170101395855,-0.07439043964936118,1891934,0.2816986218155587,Fraco,rec_
pag_flag_sem_pagamento_l30d,0.5506497925437683,10.129958508753667,10.129958508753678,0.0,0.09933905666871225,2633900,0.0,Nao Preditivo,pag_
pag_flag_sem_pagamento_l90d,0.5503370716517083,10.067414330341663,10.067414330341663,0.0,0.09196048876258316,2633900,0.0,Nao Preditivo,pag_
pag_qtd_faturas_l30d,0.5501720887645782,10.034417752915648,10.129958508753678,0.010131182424799722,-0.07509393964972809,2633900,0.0,Nao Preditivo,pag_
pag_vlr_avg_geral,0.5500589883309965,10.011797666199307,7.127601750430735,0.033877563793524586,-0.0043951169420439265,785934,0.7016082615133452,Fraco,pag_
rec_qtd_canais_distintos,0.5490304137449158,9.806082748983158,8.658180808966831,0.035070321229404136,0.07192213926509601,2633900,0.0,Fraco,rec_
idade,0.5442378807885202,8.84757615770404,6.298694859803361,0.02385376059362042,-0.06162950440084323,2627728,0.002343293215384068,Fraco,idade_
atr_qtd_faturas_atrasadas_geral,0.5323695736554128,6.473914731082564,8.903330641455165,0.04427018814008842,-0.07578578255469104,2633900,0.0,Fraco,atr_
pag_qtd_vezes_com_juros,0.531061798020293,6.212359604058593,6.075172642907867,0.022897464584888113,-0.05092763202878776,2633900,0.0,Fraco,pag_
rec_vlr_avg_l30d,0.5287634106603323,5.752682132066456,6.992814908002687,0.023039730152945755,-0.02698659003967059,1536016,0.41682827745928086,Fraco,rec_
atr_dias_desde_ultimo_atraso,0.5276294048982071,5.525880979641418,5.407795520182712,0.03575512119984485,-0.07230779774403391,838890,0.6815027146057178,Fraco,atr_
atr_flag_recorrente_l90d,0.5270484468345266,5.4096893669053125,5.4096893669053125,0.0,-0.05175967660363479,2633900,0.0,Nao Preditivo,atr_
cad_var_04,0.5261698619733348,5.233972394666964,5.183448990416906,0.015408192241039226,-0.058506147566907564,2628747,0.0019564144424617513,Nao Preditivo,cad_
tel_var_30,0.5215566093377073,4.311321867541462,10.079859427538961,0.08127927303445838,0.07667788457742128,1307794,0.5034762139792703,Fraco,tel_
rec_flag_sem_recarga_l90d,0.5209233021529014,4.184660430580278,4.184660430580289,0.0,-0.03696650984840383,2633900,0.0,Nao Preditivo,rec_
